"id","description","technique"
"1000","NIST Handbook 133","Gravimetric"
"1001","AOAC 968.06 + 992.15","Combustion"
"1002","AOAC 960.39 39.1","Extraction"
"1003","AOAC 922.06","Acid hydrolysis"
"1004","AOAC 923.03","Gravimetric"
"1005","doi.10.1021/jf60175a006","GC"
"1006","doi.org/10.1093/jat/4.1.43","GC"
"1007","AOAC 934.06 mod","Vacuum oven"
"1008","AOAC 991.43","Enzymatic-gravimetric"
"1009","AOAC 985.01 + 984.27","ICP"
"1010","AOAC 2011.19","ICP-MS"
"1011","AOAC 942.23 + 953.17 + 957.17","Fluorometric"
"1012","In-house HPLC thiamin","HPLC"
"1013","AOAC 940.33","Microbiological"
"1014","AOAC 944.13 + 960.46 + 985.34","Microbiological"
"1015","AOAC 945.74 + 960.46","Microbiological"
"1016","AOAC 961.15","Microbiological"
"1017","AOAC 992.05","Microbiological"
"1018","AOAC 991.20","Kjeldahl"
"1019","AOAC 989.05 mod","Acid hydrolysis"
"1021","AOAC 963.15","Extraction"
"1022","AOAC 945.46","Gravimetric"
"1023","AOAC 979.10","Enzymatic-spectrometric"
"1024","AOAC 982.14","LC"
"1025","In-house pH","ISE"
"1026","AOAC 936.13","Gravimetric"
"1027","AOAC 950.46","Forced air"
"1028","AOAC 964.22","Vacuum oven"
"1029","AOAC 980.14","LC"
"1030","doi.org/10.1016/S0021-9673(01)95818-2","HPLC"
"1032","doi 10.1039/AN9840900489","HPLC"
"1033","AOAC 967.22","Microfluorometric"
"1034","AOAC 942.23","Fluorometric"
"1035","AOAC 970.65","Fluorometric"
"1036","AOAC 944.13","Microbiological"
"1037","AOAC 945.74","Microbiological"
"1038","AOAC 961.15","Microbiological"
"1039","AOAC 952.20","Microbiological"
"1040","USDA Guidebook 1986","HPLC"
"1041","AOAC 994.10","GC/Direct saponification"
"1042","AOAC 996.06","GLC"
"1043","doi.10.1021/ac025624x","LC/ESI/IDMS"
"1044","Blauch & Tarka J Food Sci 48 (1983) p745","HPLC"
"1045","Huang et al. JAOAC (2009) p1327","HPLC/MS/MS"
"1046","AOAC 986.13","HPLC"
"1047","AOAC 996.11","Enzymatic-colorimetric"
"1048","doi.org/10.1016/S0076-6879(97)82128-3","HPLC"
"1049","doi.org/10.1016/S0889-1575(03)00029-2","HPLC"
"1050","In-house HPLC retinol","HPLC"
"1051","doi.org/10.1002/0471142913.faf0203s00","HPLC"
"1052","In-house HPLC tocopherols","HPLC"
"1053","AOAC 954.02","Acid hydrolysis"
"1055","doi.org/10.1111/j.1745-4522.2005.00011.x","GC"
"1056","doi.10.1021/jf049398z","HPLC"
"1057","doi.org/10.1007/s11746-997-0158-1","Extraction"
"1058","AOAC 925.09 + 926.08","Vacuum oven"
"1059","AOAC 926.08","Vacuum oven"
"1060","AOAC 982.14 mod","HPLC"
"1061","doi.10.1021/jf051505h","GC"
"1062","AOAC 2002.02","Enzymatic-gravimetric"
"1063","AOAC 2011.25","Enzymatic-Gravimetric-LC"
"1064","AOAC 2009.01","Enzymatic-Gravimetric-LC"
"1065","AOAC 984.27","ICP"
"1066","AOAC 982.14 mod","HPLC"
"1067","AOAC 2011.25","Enzymatic-gravimetric-LC"
"1068","AOAC 925.09","Vacuum oven"
"1069","AOAC 942.05","Gravimetric"
"1070","AOAC 990.03","Combustion"
"1071","AOAC 2012.15","ICP-MS"
"1072","Mann et al. JAOAC (2005) p30","LC"
"1073","doi.org/10.1016/j.jfca.2008.02.001","GC/Direct saponification"
"1074","Morrison et al., J Lipid Res, 5 (1964)","GLC"
"1075","Parks & Goins, J. Food Sci. (1994)59, p1262","GLC"
"1076","AOAC 985.35","AAS"
"1077","AOAC 985.35 + 990.23","Emission spectrometry"
"1078","AOAC 13th Ed. 2.019, 2.095, 7.098","Colorimetric"
"1079","doi.org/10.1007/s12161-010-9123-y","GLC"
"1080","AOAC 952.20","Microbiological"
"1081","Folch et al. J Bio Chem 1957","Extraction"
"1082","AOAC 992.15 (39.1.16)","Combustion"
"1083","AOAC 950.46 +934.06","Forced air"
"1084","AOAC 920.15","Gravimetric"
"1085","AOAC 992.05","Microbiological"
"1086","AOAC 933.08","GC/Direct saponification"
"1087","AOAC 941.15","HPLC"
"1088","AOAC 945.74 B5","Microbiological"
"1089","AOAC 948.22","Gravimetric"
"1090","AOAC 963.15","Extraction"
"1091","AOAC 968.06","Combustion"
"1092","AOAC 982.30 HCl","Acid Hydrolysis-HPLC"
"1093","AOAC 983.13","GC"
"1094","AOAC 985.29","Enzymatic/gravimetric"
"1095","AOAC 985.35","AAS"
"1096","AOAC 989.05 + 932.06","Base hydrolysis"
"1097","AOAC 990.26","Colorimetric"
"1098","doi.10.1021/jf301374t","HPLC"
"1099","AOAC 933.05","Extraction"
"1100","AOAC 934.06","Pressure drying"
"1101","AOAC 992.05 + 960.46b","Microbiological"
"1102","In-house HPLC Vit D","HPLC"
"1103","doi.org/10.1016/j.jfca.2005.07.001","Tri-enzyme Extraction"
"1104","EN 14164:2008","HPLC-fluorimetric"
"1105","Fecher et al., J Anal At Spectro (1998) mod","ICP"
"1106","doi.org/10.1111/j.1365-2141.1974.tb06816.x","Radio-Dilution"
"1107","In-house Vit D HPLC","HPLC"
"1108","In-house Vit D HPLC","HPLC"
"1109","doi.org/10.1016/j.jfca.2013.04.003","ICP"
"1110","doi.org/10.1093/jn/130.10.2568","GLC"
"1111","doi.org/10.1016/j.foodchem.2009.07.058","GLC"
"1112","Starch_polarimetric","Polarimetric"
"1113","Moisture_KarlFischer","Titrimetric"
"1114","AACC 08-01","Gravimetric"
"1115","AACC 46-30","Combustion"
"1116","AOAC 934.01","Vacuum oven"
"1117","AOAC 971.30","HPLC"
"1118","AOAC 974.29 Mod","HPLC"
"1119","AOAC 974.29","Colorimetric"
"1120","AOAC 985.35 50.1","AAS"
"1121","AOAC 988.15","Alk. hydrolysis-HPLC"
"1122","AOAC 992.15","Combustion"
"1123","AOAC 992.23","Combustion"
"1124","AOAC 990.03 2","Combustion"
"1125","AOAC 944.13","Microbiological"
"1126","AOAC 974.29 mod","HPLC"
"1127","AOAC 982.30","Alk. hydrolysis-HPLC"
"1128","AOAC 982.30","HCl hydrolysis -HPLC"
"1129","AOAC 996.06","GLC"
"1130","doi.10.1021/jf00120a045","GC"
"1131","Davidek et al. J Micro Anal 1985 p39","HPLC"
"1132","EN 14122:2003","HPLC"
"1133","EN 15652:2009","HPLC-fluorimetric"
"1134","AOAC 992.26 + 2002.05","HPLC"
"1135","Fecher et al., J Anal At Spectro (1998)","ICP"
"1136","doi.10.1021/jf960497p_mod","Single Enzyme"
"1137","doi.10.1021/jf9029546","HPLC"
"1138","FSIS_hydroyproline","HPLC"
"1139","Ash_gravimetric","Gravimetric"
"1140","Niacin_SIDMS","HPLC-SIDMS"
"1141","AOAC 2002.05","HPLC-UV"
"1142","AACC 44-15A","Oven"
"1143","AOAC 923.03","Gravimetric"
"1144","AOAC 933.05","Extraction"
"1145","AOAC 982.30 Ninhy","Acid Hydrolysis-HPLC"
"1146","AOAC 983.23","Extraction"
"1147","AOAC 989.05","Extraction"
"1148","AOAC 990.03","Combustion"
"1149","AOAC 994.12 HCl","Acid hydrolysis-HPLC"
"1150","AOCS Ce1-62 2-66","GLC"
"1151","AOCS Ce1c-89","GLC"
"1152","doi.org/10.1016/0003-2697(89)90059-6","Acid hydrolysis-HPLC"
"1153","AOAC 967.22","Microfluorometric"
"1154","AOAC 982.29","LC"
"1155","EN 14152:2003","HPLC-fluorimetric"
"1156","Carot_HPLC_rev_phase","HPLC"
"1157","In-house Vit D RIA","RIA"
"1158","doi.org/10.1016/j.foodres.2012.11.025","Enzymatic-spectrometric"
"1159","doi.org/10.1006/jfca.1999.0845","HPLC"
"1160","Martin et al., JAOAC 73 (1990)","Tri-enzyme Extraction"
"1161","doi.10.1021/ac00237a004","ID-GC-MS"
"1162","doi.10.1021/jf00084a019","GLC"
"1163","AOAC 925.09","Vacuum oven"
"1164","AOAC 925.40","Oven"
"1165","AOAC 961.15","Microbiological"
"1166","AOAC 982.30 Perf","Performic oxidation-HPLC"
"1167","AOAC 984.27","ICP"
"1168","AOAC 985.01","ICP"
"1169","AOAC 986.15 1","Hydride generation"
"1170","AOAC 991.43 3","Enzymatic/chemical"
"1171","AOAC 994.12 Perf","Performic oxidation-HPLC"
"1172","AOAC 996.06","Hydrolytic extraction/GC"
"1173","doi.org/10.1016/j.chroma.2006.01.049","GLC"
"1174","AOAC Olestra","GC"
"1175","AOCS Ce1d-91","GLC"
"1176","AOAC 968.08 + 985.35 + 965.05","AAS"
"1177","AOAC 994.10","GC/Direct saponification"
"1178","doi.10.1021/jf0259056","Tri-enzyme /LC-MS"
"1179","Hill et al. Anal. Chem. (1986) 58","AAS"
"1180","Moisture_air 100C","Lyophilization"
"1181","doi.org/10.1016/j.foodchem.2004.08.007","Tri-enzyme Extraction"
"1182","doi.10.1021/jf102150n","GC"
"1183","Sullivan & Zywicki, J. AOAC (2012)","ICP-MS"
"1184","doi.10.1021/jf802307h","Hydride generation"
"1185","AOAC 900.02","Gravimetric"
"1186","AOAC 920.15","Gravimetric"
"1187","AOAC 920.39","Extraction"
"1188","AOAC 920.50","Gravimetric"
"1189","AOAC 985.32","Microbiological"
"1190","AOAC 950.46b","Vacuum oven"
"1191","AOAC 960.46","Microbiological"
"1192","AOAC 961.14","Colorimetric"
"1193","AOAC 986.15","Hydride generation"
"1194","AOAC 990.23","Emission spectrometry"
"1195","AOAC 991.43 2","Enzymatic-gravimetric"
"1196","AOAC 991.43 4","Enzymatic-gravimetric"
"1197","AOAC 992.07","Microbiological"
"1198","AOAC 994.12 HPLC","HPLC"
"1199","AOAC 995.05","LC"
"1200","Baker et al., At Spect 20 (1999)","ICP-MS"
"1201","Beckman_AA","Acid hydrolysis/IC"
"1202","Moisture_air","Forced air"
"1203","B_Glucan_Megazyme","Enzymatic-spectrophotometric"
"1204","Choles_GC/Direct","GC/Direct saponification"
"1205","AOAC 43.283 - 43.291","GC"
"1206","SpGrav_gravimetric","Gravimetric"
"1207","AOAC 985.01 + 984.27","ICP"
"1208","AOAC 942.23","Fluorometric"
"1209","AOAC 944.13 B5","Microbiological"
"1210","AOAC 944.13 B2","Microbiological"
"1211","AOAC 960.47","Microbiological"
"1212","AOAC 975.03 3.2","AAS"
"1213","AOAC 991.42","Enzymatic-gravimetric"
"1214","AOAC 993.19","Enzymatic-gravimetric"
"1215","Bui and Cooper, J. AOAC, 70 (1987)","HPLC"
"1216","Carpenter et al., Biochem J. 1960, p. 604","Chemical"
"1217","AOCS Ce1-62","GLC"
"1218","AOAC 925.45","Vacuum oven"
"1219","AOAC 958.01 + 965.17","Spectrophotometric"
"1220","AOAC 980.13 + 982.14 + 984.17","LC"
"1221","AOAC 985.35 + 975.03","AAS"
"1222","Carot_FCL_HPLC","HPLC"
"1223","Hill et al. Anal. Chem. (1986) 58","AES"
"1224","Tryptophan_USDA","Chemical"
"1225","doi.10.1021/jf60175a006","GC"
"1226","AOAC 961.15 + 960.46","Microbiological"
"1227","SpGrav_pyncnometer","Pycnometer"
"1228","doi.org/10.1080/10826079808006596","HPLC"
"1229","AOAC 955.04 N","Kjeldahl"
"1230","AOAC 966.11","Enzymatic-spectrometric"
"1231","AOAC 975.03","AAS"
"1232","AOAC 981.10 39.1","Kjeldahl"
"1233","AOCS Ce-1e-91(01)","GLC"
"1234","AOAC 994.10 mod","GC/Direct saponification"
"1235","doi.org/10.1016/0308-8146(95)00149-2","HPLC"
"1236","doi.org/10.1016/S0308-8146(98)00182-4","HPLC"
"1237","Hurst et al., J. AOAC, 67 (1984)","HPLC"
"1238","doi.10.1021/jf960497p","Tri-enzyme Extraction"
"1239","doi.10.1021/jf950616l","ICP"
"1240","VanWinkle et al., Pediatr. Dent., 17 (1995)","ISE-MD-HMDS"
"1241","AACC 76-11","Enzymatic-colorimetric"
"1242","AOAC 925.51","Gravimetric"
"1243","AOAC 930.15","Oven"
"1244","AOAC 940.33","Microbiological"
"1245","AOAC 950.46","Vacuum oven"
"1246","AOAC 967.21","Titrimetric"
"1247","AOAC 970.65","Fluorometric"
"1248","AOAC 982.29","LC"
"1249","AOAC 985.32","Microbiological"
"1250","AOAC 991.43 1","Enzymatic/gravimetric"
"1251","AOCS Am 3 -96","Extraction"
"1252","AOAC 944.13 + 960.46 + 985.34","Microbiological"
"1253","AOAC 982.30","Acid hydrolysis/ Performic acid"
"1254","AOAC 992.07","Microbiological"
"1255","FDA Meth #2, 1975","GLC"
"1256","Moisture_air 60C","Oven"
"1257","Sawar, et. al., JAOAC 1988","HPLC"
"1258","Se_GFAAS","AAS"
"1259","Fluoride_ISE","ISE-direct"
"1260","J Ag Food Chem, 23: 1157 & other Pubs","Microbiological"
"1261","AOAC 994.10 mod","GC/Direct sponification"
"1262","doi.org/10.3402/fnr.v56i0.18931","GC"
"1263","AOAC 2009.01 + 2011.25","LC"
"1264","AOAC 971.30 with HPLC quantification mod","LC-FLD ()"
"1265","AOAC 971.30 with HPLC quantification mod","LC-FLD ()"
"1266","doi.org/10.1002/jps.2600560249","Nephelometry"
"1267","In-house HPLC retinol","HPLC"
"1268","doi.org/10.1002/0471142913.faf0203s00","HPLC"
"1269","AOAC 934.06 mod","Vacuum oven"
"1270","AOAC 900.02","Gravimetric"
"1271","Publication forthcoming - validation data sent to MAFCL","Direct alkaline saponification, SPE clean up, HPLC-UV"
"1272","AOAC 2001.10","HPLC"
