"id","code","food_group_id","description"
"1","1","1","CHEESE, BAKED"
"2","3","1","CHEESE, BROILED"
"3","5","1","CHEESE, COOKED W/LIQUID"
"4","7","1","CHEESE, REHEATED"
"5","101","1","EGGS, BAKED"
"6","103","1","EGGS, FRIED, SCRAMBLED"
"7","105","1","EGGS, HARD COOKED"
"8","107","1","EGGS, POACHED"
"9","109","1","EGGS, REHEATED"
"10","151","9","FRUITS, FRESH(NOT CITRUS), BAKED"
"11","152","9","FRUITS, FRESH(NOT CITRUS), BROILED"
"12","153","9","FRUITS, FRESH(NOT CITRUS), SAUTEED"
"13","154","9","FRUITS, CANNED"
"14","155","9","FRUITS, FRESH(NOT CITRUS), STEWED"
"15","156","9","FRUITS, FROZEN"
"16","157","9","FRUITS, FRESH(NOT CITRUS), REHEATED"
"17","158","9","FRUITS, DRIED"
"18","251","9","FRUITS(DRIED), BAKED"
"19","253","9","FRUITS(DRIED), SAUTEED"
"20","255","9","FRUITS(DRIED), STEWED"
"21","257","9","FRUITS(DRIED), REHEATED"
"22","270","9","FRUITS, CITRUS, CKD"
"23","301","20","FLOUR/MEAL, BAKED"
"24","302","20","FLOUR/MEAL, BOILED, STEAMED"
"25","304","20","FLOUR/MEAL, REHEATED"
"26","305","20","FLOUR/MEAL, SAUTEED"
"27","306","20","FLOUR/MEAL, TOASTED"
"28","351","8","OATMEAL, INST, COOKED"
"29","352","8","OATMEAL, REG/QUICK, COOKED"
"30","357","8","CEREAL, INST, COOKED"
"31","358","8","CEREAL, REG/QUICK, COOKED"
"32","380","20","PASTA, BAKED"
"33","381","20","PASTA, BOILED, DRAINED"
"34","382","20","PASTA, BOILED, DRAINED, BAKED"
"35","384","20","PASTA, BOILED, NOT DRAINED"
"36","385","20","PASTA, REHEATED"
"37","431","20","RICE, WHITE/BROWN, COOKED, DRAINED"
"38","432","20","RICE, WHITE/BROWN, COOKED, WATER USED"
"39","433","20","RICE, WHITE/BROWN, SAUTEED+SIMMERED"
"40","434","20","RICE, WHITE/BROWN, REHEATED"
"41","501","16","LEGUMES, CKD 15/20MIN, BOILED, DRAINED"
"42","502","16","LEGUMES, CKD 15/20MIN, BLD, WATER USED"
"43","503","16","LEGUMES, CKD 15/20MIN, BLD, DRAIND, BKD"
"44","504","16","LEGUMES, CKD 15/20MIN, BOILED+BAKED"
"45","505","16","LEGUMES, CKD 15/20MIN, BLD, DRND, FRIED"
"46","506","16","LEGUMES, CKD 15/20MIN, BOILED+FRIED"
"47","521","16","LEGUMES, CKD 45/75MIN, BOILED, DRND"
"48","522","16","LEGUMES, CKD 45/75MIN, BLD, WATER USED"
"49","523","16","LEGUMES, CKD 45/75MIN, BLD, DRND, BKD"
"50","524","16","LEGUMES, CKD 45/75MIN, BOILED+BAKED"
"51","525","16","LEGUMES, CKD 45/75MIN, BLD, DRND, FRIED"
"52","526","16","LEGUMES, CKD 45/75MIN, BOILED+FRIED"
"53","541","16","LEGUMES, CKD 2/2.5HRS, BOILED, DRAINED"
"54","542","16","LEGUMES, CKD 2/2.5HRS, BLD, WATER USED"
"55","543","16","LEGUMES, CKD 2/2.5HRS, BLD, DRND, BKD"
"56","544","16","LEGUMES, CKD 2/2.5HRS, BOILED+BAKED"
"57","545","16","LEGUMES, CKD 2/2.5HRS, BLD, DRND, FRIED"
"58","546","16","LEGUMES, CKD 2/2.5HRS, BOILED+FRIED"
"59","550","16","LEGUMES, REHEATED"
"60","601","13","BEEF, ROASTED"
"61","602","13","BEEF, BROILED CUT"
"62","603","13","BEEF, BROILED GROUND"
"63","604","13","BEEF, FRIED, W/O COATING"
"64","605","13","BEEF, FRIED"
"65","651","13","BEEF, ROAST, BRAISED, WO/DRIPPINGS"
"66","652","13","BEEF, ROAST, BRAISED, W/DRIPPINGS"
"67","653","13","BEEF, ROAST, SIMMERED, WO/DRIPPINGS"
"68","654","13","BEEF, ROAST, SIMMERED, W/DRIP"
"69","701","13","BEEF, SLICES, BRWN, SIMMER, WO/DRIPPING"
"70","702","13","BEEF, SLICES, BRWN, SIMMER, W/DRIPPINGS"
"71","703","13","BEEF, SLICES, SIMMERED, WO/DRIPPINGS"
"72","704","13","BEEF, SLICES, SIMMERED, W/DRIPPINGS"
"73","749","13","BEEF, GROUND, BAKED, WO/DRIPPINGS"
"74","750","13","BEEF, GROUND, BAKED, W/DRIPPINGS"
"75","751","13","BEEF, GROUND, BRWN, SIMMER, WO/DRIPPING"
"76","752","13","BEEF, GROUND, BRWN, SIMMER, W/DRIPPINGS"
"77","753","13","BEEF, GROUND, SIMMERED, WO/DRIPPINGS"
"78","754","13","BEEF, GROUND, SIMMERED, W/DRIPPINGS"
"79","770","13","BEEF, REHEATED"
"80","801","5","CHICKEN, BROILED"
"81","803","5","CHICKEN, FRIED, WO/COATING"
"82","804","5","CHICKEN, FRIED, W/COATING"
"83","805","5","CHICKEN, ROASTED"
"84","851","5","CHICKEN, BROWN, SIMMER, WO/DRIPPINGS"
"85","852","5","CHICKEN, BROWN, SIMMER, W/DRIPPINGS"
"86","855","5","CHICKEN, SIMMERED, WO/DRIPPINGS"
"87","856","5","CHICKEN, SIMMERED, W/DRIPPINGS"
"88","864","5","CHICKEN, REHEATED"
"89","1001","17","LAMB,  BROILED"
"90","1003","17","LAMB, GROUND, BROILED"
"91","1004","17","LAMB,  ROASTED"
"92","1051","17","LAMB, BROWN, SIMMER, WO/DRIPPINGS"
"93","1052","17","LAMB, BROWN, SIMMER, W/DRIPPINGS"
"94","1055","17","LAMB, SIMMERED, WO/DRIPPINGS"
"95","1056","17","LAMB, SIMMERED, W/DRIPPINGS"
"96","1074","17","LAMB, REHEATED"
"97","1151","17","LIVER, FRIED"
"98","1152","13","LIVER, SIMMERED, WO/DRIPPINGS"
"99","1153","13","LIVER, SIMMERED, W/DRIPPINGS"
"100","1154","17","LIVER, REHEATED"
"101","1181","13","ORGAN MEATS(NOTLIVER) FRIED"
"102","1182","13","ORGAN MEATS(NOTLIVER)SIMMRD, WO/DRIP"
"103","1183","13","ORGAN MEATS(NOTLIVER)SIMMRD, W/DRIP"
"104","1184","13","ORGAN MEATS(NOTLIVER) REHEATED"
"105","1251","10","PORK, FRESH, BROILED"
"106","1252","10","PORK, FRESH, FRIED, WO/COATING"
"107","1253","10","PORK, FRESH, FRIED, W/COATING"
"108","1254","10","PORK, FRESH, ROASTED"
"109","1301","10","PORK, FRESH, ROAST, SIMMERED WO/DRIP"
"110","1302","10","PORK, FRESH, ROAST, SIMMERED W/DRIPPNG"
"111","1351","10","PORK, FRSH, CHOPS, BRWN, SIMMRD, WO/DRIP"
"112","1352","10","PORK, FRSH, CHOPS, BRWN, SIMMRD, W/DRIP"
"113","1353","10","PORK, FRSH, CHOPS, SIMMERED, WO/DRIPPNG"
"114","1354","10","PORK, FRSH, CHOPS, SIMMERED, W/DRIPPNGS"
"115","1401","10","PORK, FRSH, GROUND, BRWN, SIMMR, WO/DRIP"
"116","1402","10","PORK, FRSH, GROUND, BRWN, SIMMRD, W/DRIP"
"117","1405","10","PORK, FRSH, GROUND, SIMMERED, WO/DRIP"
"118","1406","10","PORK, FRSH, GROUND, SIMMERED, W/DRIPPNG"
"119","1407","10","PORK, FRESH, REHEATED"
"120","1451","10","PORK, CURED, BROILED"
"121","1456","10","BACON, BROILED/FRIED"
"122","1459","10","PORK, CURED, ROASTED"
"123","1521","10","HAM/PICNIC, CURED, SIMMERED, WO/DRIP"
"124","1522","10","HAM/PICNIC, CURED, SIMMERED, W/DRIP"
"125","1551","10","PORK, CURED, SLICE, BRWN, SIMMR, WO/DRIP"
"126","1552","10","PORK, CURED, SLICE, BRWN, SIMMRD, W/DRIP"
"127","1555","10","PORK, CURED, SLICES, SIMMERED, WO/DRIP"
"128","1556","10","PORK, CURED, SLICES, SIMMERED, W/DRIP"
"129","1602","10","PORK, CURED, GROUND, BRWN, SIMR, WO/DRIP"
"130","1603","10","PORK, CURED, GROUND, BRWN, SIMR, W/DRIP"
"131","1604","10","PORK, CURED, GROUND, SIMMERED, WO/DRIP"
"132","1605","10","PORK, CURED, GROUND, SIMMERED, W/DRIP"
"133","1606","10","PORK, CURED, REHEATED"
"134","1654","10","SAUSAGE, RTE, FRANKS, ETC, CKD, WO/DRIP"
"135","1655","10","SAUSAGE, RTE, FRANKS, ETC, CKD, W/DRIP"
"136","1657","10","SAUSAGE, RTE, FRANKS, ETC, BROILED"
"137","1659","10","SAUSAGE, RTE, FRANKS, ETC, SAUTEED"
"138","1705","10","SAUSAGE, RAW, PORK, OTHER, CKD, WO/DRIP"
"139","1706","10","SAUSAGE, RAW, PORK, OTHER, CKD, W/DRIP"
"140","1707","10","SAUSAGE, RAW, PORK, OTHER, BROILED"
"141","1709","10","SAUSAGE, RAW, PORK, OTHER, SAUTEED"
"142","1712","10","SAUSAGE, REHEATED"
"143","1805","5","TURKEY, ROASTED"
"144","1851","5","TURKEY, SIMMERED, WO/DRIPPINGS"
"145","1852","5","TURKEY, SIMMERED, W/DRIPPINGS"
"146","1860","5","TURKEY, REHEATED"
"147","1951","17","VEAL,  BROILED"
"148","1952","17","VEAL,  FRIED,  WO/COATING"
"149","1953","17","VEAL,  FRIED,  W/COATING"
"150","1954","17","VEAL,  ROASTED"
"151","2001","17","VEAL, ROAST, BRAISED, WO/DRIPPINGS"
"152","2002","17","VEAL, ROAST, BRAISED, W/DRIPPINGS"
"153","2003","17","VEAL, ROAST, SIMMERED, WO/DRIPPINGS"
"154","2004","17","VEAL, ROAST, SIMMERED, W/DRIPPINGS"
"155","2051","17","VEAL, SLICES, BRWN, SIMMRD, WO/DRIPPING"
"156","2052","17","VEAL, SLICES, BRWN, SIMMRD, W/DRIPPINGS"
"157","2055","17","VEAL.SLICES, SIMMERED, WO/DRIPPINGS"
"158","2056","17","VEAL, SLICES, SIMMERED, W/DRIPPINGS"
"159","2064","17","VEAL, REHEATED"
"160","2151","1","MILK, HEATED APPROX 10MIN"
"161","2152","1","MILK, HEATED APPROX 30MIN"
"162","2153","1","MILK, HEATED APPROX 1 HOUR"
"163","2154","1","MILK, REHEATED"
"164","2201","12","NUTS, BAKED, W/DRIPPINGS"
"165","2202","12","NUTS, BROILED"
"166","2203","12","NUTS, ROASTED"
"167","2204","12","NUTS, BOILED, W/DRIPPINGS"
"168","2301","15","FINFISH, <5%FAT, BAKED, WO/DRIPPINGS"
"169","2302","15","FINFISH, <5%FAT, BAKED W/DRIPPINGS"
"170","2305","15","FINFISH, <5%FAT, BROILED, WO/DRIPPINGS"
"171","2306","15","FINFISH, <5%FAT, BROILED, W/DRIPPINGS"
"172","2309","15","FINFISH, <5%FAT, FRIED, WO/COATING"
"173","2310","15","FINFISH, <5%FAT, FRIED, W/COATING"
"174","2401","15","FINFISH, <5%FAT, SIMMERED, WO/DRIPPING"
"175","2402","15","FINFISH, <5%FAT, SIMMERED, W/DRIPPINGS"
"176","2451","15","FINFISH, >5%FAT, BAKED, WO/DRIPPINGS"
"177","2452","15","FINFISH, >5%FAT, BAKED, W/DRIPPINGS"
"178","2455","15","FINFISH, >5%FAT, BROILED, WO/DRIPPNG"
"179","2456","15","FINFISH, >5%FAT, BROILED, W/DRIPPNGS"
"180","2459","15","FINFISH, >5%FAT, FRIED, WO/COATING"
"181","2460","15","FINFISH, >5%FAT, FRIED, W/COATING"
"182","2551","15","FINFISH, >5%FAT, SIMMERED, WO/DRIP"
"183","2552","15","FINFISH, >5%FAT, SIMMERED, W/DRIP"
"184","2554","15","FINFISH, REHEATED"
"185","2601","15","FINFISH(FROZEN), FRIED"
"186","2605","15","FINFISH(FROZEN), HEATED"
"187","2701","15","SHELLFISH, W/SHELL, BOILED"
"188","2702","15","SHELLFISH, W/SHELL, STEAMED"
"189","2750","15","SHELLFISH, WO/SHELL, BAKED, W/DRIPPNGS"
"190","2753","15","SHELLFISH, WO/SHELL, BROILED"
"191","2755","15","SHELLFISH, WO/SHELL, FRIED, WO/COATING"
"192","2756","15","SHELLFISH, WO/SHELL, FRIED, W/COATING"
"193","2761","15","SHELLFISH, WO/SHELL, SIMMERED, WO/DRIP"
"194","2762","15","SHELLFISH, WO/SHELL, SIMMERED, W/DRIP"
"195","2770","15","SHELLFISH, WO/SHELL, STEAMED"
"196","2771","15","SHELLFISH, WO/SHELL, REHEATED"
"197","2901","15","SEAFOOD, FROG, TURTLE, BKD, WO/DRIP"
"198","2902","15","SEAFOOD, FROG, TURTLE, CKD, W/DRIP"
"199","2905","15","SEAFOOD, FROG, TURTLE, SIMM, WO/DRIP"
"200","2906","15","SEAFOOD, FROG, TURTLE, SIMRD, W/DRIP"
"201","2907","15","SEAFOOD, FROG, TURTLE, BRSD, WO/DRIP"
"202","2908","15","SEAFOOD, FROG, TURTLE, BRAIS, W/DRIP"
"203","2909","15","SEAFOOD, FROG, TURTLE, BRLD, WO/DRIP"
"204","2910","15","SEAFOOD, FROG, TURTLE, BRLD, W/DRIP"
"205","2911","15","SEAFOOD, FROG, TURTLE, FRYD, WO/COAT"
"206","2912","15","SEAFOOD, FROG, TURTLE, FRIED, W/COAT"
"207","2917","15","SEAFOOD, FROG, TURTLE, REHEATED"
"208","3001","11","VEG, GREENS, BAKED"
"209","3004","11","VEG, GREENS, BOILD, LITTLE WATER DRAIN"
"210","3005","11","VEG, GREENS, BOILED, WATER COVER DRAIN"
"211","3006","11","VEG, GREENS, BOILED, WATER USED"
"212","3015","11","VEG, GREENS, STIR FRY"
"213","3018","11","VEG, GREENS, REHEATED"
"214","3019","11","VEG, GREENS, COOKED FROM FROZEN, DRAIN"
"215","3301","11","POTATOES, BAKED IN SKIN"
"216","3302","11","POTATOES, BAKED IN CASSEROLE"
"217","3307","11","POTATOES, BOILED IN SKIN"
"218","3308","11","POTATOES, BOILED(PARED)DRAIN"
"219","3309","11","POTATOES, BOILED(PARED) WATER USED"
"220","3310","11","POTATOES, BOILED, BROWNED"
"221","3311","11","POTATOES, BOILED, STORED, BROWNED"
"222","3315","11","POTATOES, FRIED"
"223","3316","11","POTATOES, MASHED"
"224","3371","11","POTATOES, CANNED, BOILED, WATER USED"
"225","3373","11","POTATOES, CANNED, BROILED"
"226","3375","11","POTATOES, CANNED, FRIED"
"227","3379","11","POTATOES, REHEATED"
"228","3380","11","POTATOES, CKD FROM FRZN, HASH BROWN"
"229","3381","11","POTATOES, CKD FROM FRZN, FRENCH FRY"
"230","3382","11","POTATOES, CKD FROM FRZN, BAKED STUFFD"
"231","3451","11","VEG, ROOTS, ETC, BAKED"
"232","3454","11","VEG, ROOTS, ETC, BLD, DRAIND, LITTLE WTR"
"233","3455","11","VEG, ROOTS, ETC, BLD, DRAIND, WTR COVER"
"234","3456","11","VEG, ROOTS, ETC, BOILED, WATER USED"
"235","3460","11","VEG, ROOTS, ETC, SAUTEED"
"236","3464","11","VEG, ROOTS, ETC, STEAMED"
"237","3465","11","VEG, ROOTS, ETC, STIR FRY"
"238","3468","11","VEG, ROOTS, ETC, REHEATED"
"239","3469","11","VEG, ROOTS, ETC, CKD FROM FRZN, DRAINED"
"240","3701","11","SWEETPOTAOTES, BAKED IN SKIN"
"241","3702","11","SWEETPOTATOES,  BAKED IN CASSEROLE"
"242","3707","11","SWEETPOTATOES, BOILED IN SKIN"
"243","3708","11","SWEETPOTATOES, BOILED (PARED)DRAINED"
"244","3709","11","SWEETPOTATOES, BLD(PARED)WATER USED"
"245","3710","11","SWEETPOTATOES, FRIED"
"246","3711","11","SWEETPOTATOES, REHEATED"
"247","3712","11","SWEETPOTATOES, CKD FROM FRN, BAKED"
"248","3713","11","SWEETPOTATOES, CKD FROM FRZN, BOILED"
"249","3751","11","TOMATOES, BOILED/BAKED"
"250","3752","11","TOMATOES, FRIED/BROILED"
"251","3754","11","TOMATOES, REHEATED"
"252","3771","11","VEG, OTHER, BAKED"
"253","3774","11","VEG, OTHER, BLD, LITTLE WATER, DRAINED"
"254","3775","11","VEG, OTHER, BLD, WATER COVER, DRAINED"
"255","3776","11","VEG, OTHER, BLD, WATER USED"
"256","3780","11","VEG, OTHER, FRIED"
"257","3784","11","VEG, OTHER, STEAMED"
"258","3785","11","VEG, OTHER, STIR FRY"
"259","3788","11","VEG, OTHER, REHEATED"
"260","3789","11","VEG, OTHER, CKD FROM FRZN(BLD, DRAIND)"
"261","5001","14","ALC BEV, NO HEAT, STORED OVERNIGHT"
"262","5002","14","ALC BEV, STIRRED INTO HOT LIQ"
"263","5003","14","ALC BEV, FLAMED"
"264","5004","14","ALC BEV, STIRRED, BKD/SIMMRD 15 MIN"
"265","5005","14","ALC BEV, STIRRED, BKD/SIMMRD 30 MIN"
"266","5006","14","ALC BEV, STIRRED, BKD/SIMMRD 1 HR"
"267","5007","14","ALC BEV, STIRRED, BKD/SIMMRD 1.5 HR"
"268","5008","14","ALC BEV, STIRRED, BKD/SIMMRD 2 HR"
"269","5009","14","ALC BEV, STIRRED, BKD/SIMMRD 2.5 HR"
"270","5010","14","ALC BEV, NOT STIRRED IN, BKD 25 MIN"
